番号,係り,受け,回数
289,塗る,色,0
290,塗る,感じ,14
291,塗る,価格#,0
292,塗る,カバー力,1
293,塗る,仕上がり,0
294,塗る,よう,3
295,塗る,所,0
296,塗る,伸び,0
297,塗る,ファンデーション,0
298,塗る,もの,0
299,塗る,のり,0
300,塗る,点,0
301,塗る,肌色,0
302,塗る,自分,0
303,塗る,事,0
304,塗る,のびる,0
305,塗る,デザイン,0
