名詞(複合語),(回数),形容詞,(回数),動詞,(回数),副詞,(回数),連体詞,(回数),接続詞,(回数)
割り,41,脂っこい,1,着く,9,ほぼ,2,,,,,
顔,40,うるさい,1,整う,9,もう,2,,,,,
通販,38,わるい,1,抑える,9,やや,2,,,,,
肌質,38,なにげない,1,ふく,9,また,2,,,,,
化粧直し,38,とてつもない,1,行く,8,何とも,2,,,,,
効果,38,見苦しい,1,かける,8,ふわふわ,2,,,,,
力,38,煩わしい,1,めだつ,8,つい,2,,,,,
とき,37,酷い,1,汚れる,8,すんなり,2,,,,,
色合い,36,うれしい,1,かりる,8,パッ,2,,,,,
フィット感,36,いたい,1,作れる,8,なおかつ,2,,,,,
コンビニ,35,すくない,1,入れる,8,まるで,2,,,,,
美白効果,35,つらい,1,ベタつく,8,バッチリ,2,,,,,
マット,34,黄色い,1,色づく,8,どう,2,,,,,
サラッ,34,すばやい,1,なくなる,8,するする,1,,,,,
なめらか,33,赤黒い,1,おさえる,7,もって,1,,,,,
ブランド,33,水っぽい,1,もつ,7,時々,1,,,,,
商品,33,分厚い,1,おちる,7,もう少し,1,,,,,
なじみ,33,恥ずかしい,1,落とせる,7,ふつう,1,,,,,
感触,32,輝かしい,1,押さえる,7,中でも,1,,,,,
下地,31,細い,1,もらう,7,大して,1,,,,,
お手ごろ,31,可愛らしい,1,出せる,6,ヒリヒリ,1,,,,,
化粧のり,31,こわい,1,扱う,6,うっすら,1,,,,,
オイルフリー,31,よわい,1,続く,6,もちろん,1,,,,,
気軽,30,大人しい,1,あわせる,6,そのうえ,1,,,,,
美容液,30,たのしい,1,薦める,6,かく,1,,,,,
後,30,ほしい,1,あがる,6,いまいち,1,,,,,
便利,30,きたない,1,起こす,6,てかてか,1,,,,,
これ,30,かっこいい,1,つるむ,6,もち,1,,,,,
トラブル,30,ぬくい,1,分かれる,6,いっぱい,1,,,,,
肌なじみ,29,厳しい,1,伸ばす,6,ピリピリ,1,,,,,
ＵＶカット,29,しろい,1,うく,6,ツルツル,1,,,,,
今,29,怖い,1,割れる,6,さほど,1,,,,,
とこ,29,わざとらしい,1,かさばる,5,ぴりぴり,1,,,,,
すき,28,短い,1,防げる,5,もっと,1,,,,,
シンプル,28,冷たい,1,うるおう,5,とくべつ,1,,,,,
量,27,難しい,1,みる,5,次々,1,,,,,
紫外線,27,ありがたい,1,忘れる,5,残らず,1,,,,,
質感,27,力強い,1,すすめる,5,それだけ,1,,,,,
CM,26,ここちよい,1,よる,5,べとべと,1,,,,,
乾燥肌,26,,,もらえる,5,思わず,1,,,,,
どこ,26,,,とれる,5,共に,1,,,,,
化粧品,26,,,妨げる,5,ぐんと,1,,,,,
オールシーズン,26,,,かくす,5,しゃきっと,1,,,,,
テカリ,26,,,使い分ける,5,たまに,1,,,,,
ファン,26,,,乗せる,5,ザラザラ,1,,,,,
敏感肌用,26,,,出す,5,充分,1,,,,,
豊富,25,,,惹く,5,だいたい,1,,,,,
容器,25,,,分かる,5,こう,1,,,,,
安全,24,,,かくれる,5,なるべく,1,,,,,
日焼け止め効果,24,,,問う,5,ついつい,1,,,,,
リキッドファンデーション,24,,,すぐれる,5,スルスル,1,,,,,
方,24,,,仕上げる,5,満遍なく,1,,,,,
ため,23,,,要る,5,くっきり,1,,,,,
厚化粧,22,,,助かる,5,いちいち,1,,,,,
低刺激,22,,,持ち歩く,5,いままで,1,,,,,
添加物,22,,,考える,4,サッと,1,,,,,
皮脂,22,,,知る,4,別途,1,,,,,
クリームタイプ,22,,,つくす,4,同時に,1,,,,,
質,22,,,あれる,4,ぴんと,1,,,,,
つや,22,,,保てる,4,恐らく,1,,,,,
カラー,21,,,のせる,4,少々,1,,,,,
ドラッグストア,21,,,取れる,4,只,1,,,,,
ＣＭ,20,,,やる,4,わざわざ,1,,,,,
薄つき,20,,,起こる,4,みるみる,1,,,,,
ＵＶ効果,20,,,効く,4,常に,1,,,,,
つけごこち,19,,,進める,4,きっちり,1,,,,,
メイク,19,,,しみる,4,殆ど,1,,,,,
上,19,,,張り付く,4,こっくり,1,,,,,
潤い,19,,,触れる,4,何とか,1,,,,,
昔,19,,,聞く,4,ふわり,1,,,,,
長年,18,,,終わる,4,あえて,1,,,,,
高級感,18,,,起きる,4,且つ,1,,,,,
心地,18,,,ぱさつく,4,できるだけ,1,,,,,
顔色,18,,,輝く,4,もしも,1,,,,,
以前,18,,,置く,4,わりに,1,,,,,
薄,18,,,減る,4,しいて,1,,,,,
滑らか,18,,,もてる,3,なぜ,1,,,,,
そう,17,,,慣れる,3,ねっとり,1,,,,,
パール,17,,,負ける,3,ほほ,1,,,,,
お手頃,17,,,引き締まる,3,どうしても,1,,,,,
適度,17,,,残る,3,一見,1,,,,,
そばかす,17,,,急ぐ,3,もさっと,1,,,,,
密着,17,,,出かける,3,案外,1,,,,,
素肌感,17,,,かねる,3,ほんのり,1,,,,,
にきび,16,,,延びる,3,これから,1,,,,,
