SEQ,,合計,ドラッグストア,デパート,ブランド専門のインターネット通信販売,大型スーパー,化粧品専門店,インターネット以外の通信販売,その他,ディスカウント系のインターネット通信販売,バラエティショップ,コンビニエンスストア,食品スーパー,ディスカウントショップ（ドンキホーテ等）,ホームセンター
33,安心,111,22,14,22,3,11,19,11,3,1,3,2,0,0
34,つけ心地,110,41,16,17,8,10,8,7,1,1,1,0,0,0
35,使用,109,29,20,13,4,8,13,18,0,1,1,2,0,0
36,気,109,48,10,12,14,8,8,4,2,1,2,0,0,0
37,厚塗り,108,31,20,10,12,9,12,10,2,1,0,0,0,1
38,負担,96,13,12,13,5,9,23,14,5,0,0,1,1,0
39,ノリ,95,34,19,8,8,9,6,5,2,2,1,1,0,0
40,手軽,93,26,13,15,6,6,7,10,2,0,6,1,0,1
41,汗,93,30,13,12,9,9,6,8,3,2,1,0,0,0
42,肌色,89,32,26,7,6,2,7,3,2,0,1,1,1,1
43,ムラ,86,28,14,5,8,9,7,10,4,0,1,0,0,0
44,素肌,83,24,25,4,9,8,3,7,0,1,1,0,1,0
45,敏感肌,83,17,13,11,7,14,6,10,3,1,0,1,0,0
46,乾燥,83,16,28,10,6,10,5,4,2,1,0,0,0,1
47,購入,82,23,4,17,8,0,10,8,3,2,6,0,0,1
48,パウダー,82,24,26,2,10,10,1,4,2,1,1,0,1,0
49,安価,81,33,5,10,11,1,6,8,3,0,2,1,0,1
50,デザイン,81,43,16,1,4,5,5,2,4,0,1,0,0,0
51,私,79,24,10,9,9,6,10,6,2,1,1,1,0,0
52,保,78,17,27,8,3,8,8,7,0,0,0,0,0,0
53,匂い,74,23,13,8,6,7,9,4,2,0,2,0,0,0
54,使い心地,73,20,12,12,9,7,6,5,1,0,0,0,0,1
55,もの,71,22,8,12,4,7,6,9,2,0,0,1,0,0
56,肌荒れ,70,16,7,11,6,6,11,9,2,0,2,0,0,0
57,さ,68,19,17,5,5,5,6,7,3,0,0,0,1,0
58,コンパクト,67,26,19,3,7,4,2,2,0,0,4,0,0,0
59,少量,67,10,23,8,3,3,12,4,3,1,0,0,0,0
60,香り,66,18,27,3,5,9,1,3,0,0,0,0,0,0
61,リキッドタイプ,65,18,17,6,5,4,4,8,2,1,0,0,0,0
62,簡単,63,14,11,9,4,3,9,8,3,0,1,0,0,1
63,もち,62,22,16,4,3,7,5,3,0,2,0,0,0,0
64,点,61,18,7,7,6,3,7,6,3,1,0,2,1,0
65,キレイ,60,17,20,3,7,3,4,3,3,0,0,0,0,0
66,成分,60,4,13,11,1,3,10,14,1,1,0,2,0,0
67,感,60,15,19,7,3,10,0,4,1,0,1,0,0,0
68,水,59,14,7,15,7,3,5,2,2,0,2,1,0,1
69,品質,59,14,7,12,8,3,9,3,1,0,1,1,0,0
70,フィット,57,10,18,6,5,4,7,4,1,1,1,0,0,0
71,割,57,20,4,8,7,2,7,3,2,0,2,1,1,0
72,付き,54,15,10,3,8,6,3,6,1,1,1,0,0,0
73,むら,53,19,9,6,5,5,4,4,1,0,0,0,0,0
74,使用感,53,16,8,10,4,3,3,7,1,1,0,0,0,0
75,わり,52,23,5,8,6,3,2,2,1,2,0,0,0,0
76,香料,51,9,12,4,4,5,4,11,1,0,1,0,0,0
77,長時間,50,13,13,6,2,3,7,5,0,1,0,0,0,0
78,シミ,49,14,10,5,7,4,2,2,4,0,0,0,0,1
79,しみ,49,12,14,3,4,2,2,5,1,2,1,1,0,2
80,手,48,20,5,3,5,2,2,7,1,0,2,1,0,0
81,低価格,48,13,0,5,8,0,8,4,0,0,6,2,1,1
82,事,48,18,8,4,2,2,4,6,2,1,0,1,0,0
83,時,47,15,9,3,5,2,5,6,1,0,1,0,0,0
84,色味,47,17,9,6,3,5,2,2,1,2,0,0,0,0
85,一番,46,23,12,1,3,2,2,2,0,0,1,0,0,0
86,長持ち,46,9,9,5,5,7,0,9,1,0,1,0,0,0
87,発色,46,17,17,1,3,4,2,1,0,1,0,0,0,0
88,時間,46,6,14,3,3,8,3,4,4,0,0,1,0,0
89,刺激,45,14,12,4,3,4,1,4,1,0,2,0,0,0
90,他,43,15,4,4,5,6,4,3,1,0,0,1,0,0
91,パッケージ,42,14,14,2,3,4,0,0,1,4,0,0,0,0
92,におい,42,12,9,5,2,4,2,6,0,1,0,1,0,0
93,UVカット,42,13,6,6,1,1,9,3,0,1,1,1,0,0
94,メーカー,41,9,9,7,3,5,5,3,0,0,0,0,0,0
95,割り,40,18,6,3,4,0,5,1,0,1,0,1,0,1
96,顔,39,8,14,4,4,3,1,2,1,1,0,0,0,1
97,通販,38,0,1,18,0,0,15,2,2,0,0,0,0,0
98,効果,38,7,9,7,2,5,5,1,2,0,0,0,0,0
99,力,38,14,9,2,2,3,5,3,0,0,0,0,0,0
100,化粧直し,38,6,15,3,4,2,3,4,0,1,0,0,0,0
101,肌質,37,9,5,3,5,5,4,3,1,1,0,0,1,0
102,フィット感,36,12,12,4,1,3,2,2,0,0,0,0,0,0
103,色合い,36,14,6,3,8,2,0,2,0,0,0,0,0,1
104,コンビニ,35,5,1,3,0,0,0,0,0,0,26,0,0,0
105,美白効果,35,11,10,2,2,3,3,2,0,1,0,0,1,0
106,とき,35,9,8,2,3,4,2,4,1,0,2,0,0,0
107,マット,34,9,18,0,1,0,2,1,2,1,0,0,0,0
108,サラッ,34,11,11,6,1,2,1,2,0,0,0,0,0,0
109,なじみ,33,12,3,0,3,7,1,5,2,0,0,0,0,0
110,ブランド,33,15,7,1,2,1,3,2,2,0,0,0,0,0
111,感触,32,8,13,1,3,1,2,2,1,1,0,0,0,0
112,なめらか,32,9,5,1,2,2,5,5,3,0,0,0,0,0
113,お手ごろ,31,9,4,4,7,2,2,0,1,0,1,1,0,0
114,化粧のり,31,10,6,1,3,4,5,1,1,0,0,0,0,0
115,オイルフリー,31,0,9,6,1,6,3,6,0,0,0,0,0,0
116,商品,31,14,2,2,4,5,2,2,0,0,0,0,0,0
117,下地,31,9,6,1,5,2,2,5,1,0,0,0,0,0
118,美容液,30,0,5,8,0,0,10,3,4,0,0,0,0,0
119,トラブル,30,7,4,2,4,5,3,3,0,2,0,0,0,0
120,便利,30,11,3,2,5,1,0,1,2,0,5,0,0,0
121,後,30,10,5,3,0,1,4,5,2,0,0,0,0,0
122,肌なじみ,29,6,10,3,2,4,2,2,0,0,0,0,0,0
123,気軽,29,13,1,2,3,0,2,1,0,0,5,2,0,0
124,これ,29,10,7,1,4,2,0,3,1,1,0,0,0,0
125,ＵＶカット,29,5,1,7,3,3,4,5,0,0,0,1,0,0
126,今,28,8,9,1,2,3,1,3,1,0,0,0,0,0
127,シンプル,28,8,8,2,6,0,2,0,0,0,1,1,0,0
128,すき,28,4,7,4,6,1,2,4,0,0,0,0,0,0
129,量,27,6,7,4,3,4,1,1,0,1,0,0,0,0
130,質感,27,10,7,1,2,2,2,2,1,0,0,0,0,0
131,敏感肌用,26,9,6,1,3,3,1,2,1,0,0,0,0,0
132,とこ,26,2,8,3,2,7,2,0,2,0,0,0,0,0
133,オールシーズン,26,14,2,0,5,3,0,2,0,0,0,0,0,0
134,ファン,26,4,7,3,0,2,5,2,1,2,0,0,0,0
135,'CM',26,13,7,0,2,2,0,1,0,0,1,0,0,0
136,どこ,26,16,5,0,4,1,0,0,0,0,0,0,0,0
137,テカリ,26,9,4,3,5,1,2,1,0,1,0,0,0,0
138,紫外線,26,4,4,3,1,4,1,4,2,0,1,1,1,0
139,乾燥肌,26,6,7,4,0,3,3,1,0,1,0,0,1,0
140,化粧品,25,7,2,1,4,2,2,5,1,0,0,1,0,0
141,豊富,25,10,6,2,1,2,3,0,0,1,0,0,0,0
142,容器,25,9,7,1,0,1,1,4,0,2,0,0,0,0
143,安全,24,0,0,7,0,4,3,9,0,0,0,1,0,0
144,リキッドファンデーション,24,3,7,2,3,4,3,1,1,0,0,0,0,0
145,方,24,8,8,1,1,3,2,1,0,0,0,0,0,0
146,日焼け止め効果,24,6,7,3,2,3,1,0,0,0,0,0,1,1
147,ため,23,4,5,2,1,2,4,3,1,0,1,0,0,0
148,低刺激,22,4,6,3,1,2,2,1,1,1,0,1,0,0
149,添加物,22,1,3,2,2,3,5,5,0,0,1,0,0,0
150,クリームタイプ,22,8,4,0,2,2,1,3,2,0,0,0,0,0
151,つや,22,5,12,1,0,1,2,0,1,0,0,0,0,0
152,厚化粧,22,6,3,3,1,2,4,2,0,1,0,0,0,0
153,質,22,7,1,2,4,2,1,4,0,1,0,0,0,0
154,カラー,21,10,4,3,2,1,0,0,0,1,0,0,0,0
155,ドラッグストア,21,19,0,1,0,0,0,0,0,0,0,0,0,1
156,皮脂,21,8,5,2,0,2,1,3,0,0,0,0,0,0
157,'ＣＭ',20,16,3,0,0,0,0,0,1,0,0,0,0,0
158,ＵＶ効果,20,7,3,0,4,1,2,2,0,1,0,0,0,0
159,薄つき,20,4,5,1,3,3,2,1,0,0,1,0,0,0
160,つけごこち,19,5,9,1,0,1,2,1,0,0,0,0,0,0
161,上,19,9,4,4,0,1,0,1,0,0,0,0,0,0
162,メイク,19,7,3,0,1,3,4,0,1,0,0,0,0,0
163,潤い,19,3,9,1,0,2,2,2,0,0,0,0,0,0
164,昔,19,8,3,0,2,1,1,3,1,0,0,0,0,0
165,高級感,18,5,6,0,0,3,0,3,1,0,0,0,0,0
166,長年,18,7,3,1,2,4,1,0,0,0,0,0,0,0
167,以前,18,8,3,0,2,1,3,0,0,0,0,1,0,0
168,滑らか,18,5,6,0,0,3,1,3,0,0,0,0,0,0
169,薄,18,5,6,2,2,1,1,1,0,0,0,0,0,0
170,顔色,18,8,5,2,0,2,0,1,0,0,0,0,0,0
171,心地,18,5,3,2,2,1,3,0,1,0,0,1,0,0
172,そう,17,4,2,4,2,1,1,2,1,0,0,0,0,0
173,密着,17,4,6,1,1,2,0,1,2,0,0,0,0,0
174,そばかす,17,8,4,0,0,0,2,2,0,0,0,1,0,0
175,素肌感,17,2,7,3,0,3,1,1,0,0,0,0,0,0
176,適度,17,5,5,1,1,1,1,1,1,1,0,0,0,0
177,お手頃,17,8,3,2,1,2,0,0,0,1,0,0,0,0
178,パール,16,10,3,1,2,0,0,0,0,0,0,0,0,0
179,信頼,16,5,3,2,1,1,3,0,0,0,0,1,0,0
180,お肌,16,2,2,3,1,0,2,5,1,0,0,0,0,0
181,にきび,16,2,5,4,1,2,0,1,0,1,0,0,0,0
182,お手ごろ価格,16,7,1,4,1,0,1,0,0,1,1,0,0,0
183,ニキビ,16,4,6,3,0,2,0,0,0,1,0,0,0,0
184,楽,16,3,2,4,0,1,1,4,0,0,1,0,0,0
185,資生堂,16,8,2,0,4,1,0,0,1,0,0,0,0,0
186,パフ,16,5,2,2,2,1,1,1,0,0,2,0,0,0
187,サラサラ感,15,8,1,2,0,0,2,2,0,0,0,0,0,0
188,安心感,15,6,1,1,3,0,1,1,1,0,0,1,0,0
189,愛用,15,9,3,0,1,1,0,1,0,0,0,0,0,0
190,油,15,1,3,3,1,2,2,3,0,0,0,0,0,0
191,人,15,6,4,1,0,2,0,1,0,0,1,0,0,0
192,あと,15,6,4,0,1,1,2,0,0,0,0,1,0,0
193,見た目,15,4,4,0,5,0,0,1,0,0,1,0,0,0
194,スーパー,15,5,0,0,5,0,0,0,0,0,0,3,0,2
195,大丈夫,15,7,0,1,0,3,0,3,1,0,0,0,0,0
196,薄付,15,4,6,2,0,1,2,0,0,0,0,0,0,0
197,油分,15,0,0,6,0,0,5,4,0,0,0,0,0,0
198,天然成分,15,0,1,4,0,0,4,6,0,0,0,0,0,0
199,白,14,1,3,2,3,0,3,0,2,0,0,0,0,0
200,夏,14,4,1,3,1,1,2,1,0,0,1,0,0,0
201,イメージ,14,10,3,0,0,1,0,0,0,0,0,0,0,0
202,リーズナブル,14,6,3,1,2,0,1,0,1,0,0,0,0,0
203,一緒,14,6,1,2,1,0,2,1,1,0,0,0,0,0
204,使い,14,3,4,0,3,2,1,0,1,0,0,0,0,0
205,種類,14,7,4,2,0,0,0,0,0,1,0,0,0,0
206,不使用,14,0,0,5,0,2,5,2,0,0,0,0,0,0
207,肌トラブル,14,6,4,1,2,0,1,0,0,0,0,0,0,0
208,さそう,14,2,6,3,0,1,0,0,0,1,0,1,0,0
209,光,14,2,2,1,6,2,0,0,0,1,0,0,0,0
210,かさ,14,3,3,2,1,4,1,0,0,0,0,0,0,0
211,日焼け止め,13,3,3,1,0,1,2,3,0,0,0,0,0,0
212,皮膚呼吸,13,2,0,1,0,1,1,8,0,0,0,0,0,0
213,中,13,4,3,0,2,0,1,1,0,0,0,0,0,2
214,普通,13,7,1,1,0,1,1,1,0,0,0,0,1,0
215,日焼け,13,2,1,2,1,0,3,1,2,1,0,0,0,0
216,化粧持ち,13,2,7,2,2,0,0,0,0,0,0,0,0,0
217,それ,13,3,1,1,1,1,1,4,0,1,0,0,0,0
218,季節,13,1,2,3,2,0,2,2,1,0,0,0,0,0
219,化粧水,13,3,0,1,1,1,1,3,2,0,0,1,0,0
220,基礎化粧品,12,2,1,2,2,0,3,2,0,0,0,0,0,0
221,夏用,12,4,0,2,1,3,0,2,0,0,0,0,0,0
222,パウダータイプ,12,5,2,1,1,1,0,1,1,0,0,0,0,0
223,ラメ,12,4,3,1,1,2,0,0,0,0,1,0,0,0
224,しっとり感,12,2,4,0,1,4,1,0,0,0,0,0,0,0
225,ノビ,12,3,5,1,0,1,0,2,0,0,0,0,0,0
226,ごち,12,3,1,3,0,3,1,1,0,0,0,0,0,0
227,延び,12,3,3,1,1,0,3,1,0,0,0,0,0,0
228,金額,12,2,2,3,3,0,2,0,0,0,0,0,0,0
229,紫外線対策,12,6,0,1,1,2,1,0,1,0,0,0,0,0
230,つけ,12,4,0,4,1,1,0,2,0,0,0,0,0,0
231,たくさん,12,4,2,0,1,1,1,1,1,1,0,0,0,0
232,紫外線カット,11,5,1,0,1,2,2,0,0,0,0,0,0,0
233,違和感,11,2,3,2,1,2,0,1,0,0,0,0,0,0
234,ツヤ感,11,1,6,0,1,2,0,1,0,0,0,0,0,0
235,臭い,11,3,2,0,2,1,1,2,0,0,0,0,0,0
236,持続,11,4,4,2,0,0,0,1,0,0,0,0,0,0
237,おしゃれ,11,4,5,0,0,1,0,0,1,0,0,0,0,0
238,機能,11,3,1,2,1,0,2,1,1,0,0,0,0,0
239,調子,11,2,3,4,0,1,1,0,0,0,0,0,0,0
240,物,11,4,1,1,0,1,1,2,0,0,1,0,0,0
241,美白,11,3,1,0,2,1,1,3,0,0,0,0,0,0
242,オイルカット,11,0,0,5,0,3,3,0,0,0,0,0,0,0
243,形,10,6,2,0,1,1,0,0,0,0,0,0,0,0
244,原料,10,0,0,1,0,1,6,2,0,0,0,0,0,0
245,素肌感覚,10,2,2,1,2,1,0,1,1,0,0,0,0,0
246,肌触り,10,2,3,0,1,1,1,2,0,0,0,0,0,0
247,手間,10,2,2,0,0,0,2,2,1,0,0,0,0,1
248,気持ち,10,2,0,2,1,1,1,3,0,0,0,0,0,0
249,ファンデ,10,0,2,3,0,0,4,1,0,0,0,0,0,0
250,使い勝手,10,2,3,0,3,2,0,0,0,0,0,0,0,0
251,クリーム状,10,2,3,0,0,0,1,0,1,3,0,0,0,0
252,ツヤ,10,1,5,0,1,1,0,0,1,1,0,0,0,0
253,評判,10,3,5,0,1,0,1,0,0,0,0,0,0,0
254,ナチュラル感,10,4,2,1,0,2,0,1,0,0,0,0,0,0
255,'UV',10,3,0,3,3,0,0,1,0,0,0,0,0,0
256,赤ちゃん,10,7,0,1,1,0,0,1,0,0,0,0,0,0
257,テカら,10,2,5,2,0,1,0,0,0,0,0,0,0,0
258,いつ,10,3,0,2,0,0,0,3,0,0,2,0,0,0
259,配合,10,0,2,0,0,1,3,2,2,0,0,0,0,0
260,両方,10,2,3,2,1,1,0,0,0,0,1,0,0,0
261,近く,10,4,4,0,1,0,0,1,0,0,0,0,0,0
262,具合,10,3,3,1,1,2,0,0,0,0,0,0,0,0
263,カバ,10,5,0,1,1,2,0,1,0,0,0,0,0,0
264,製品,10,2,4,1,0,0,0,3,0,0,0,0,0,0
265,自然派化粧品,10,0,0,0,0,1,3,3,2,0,0,1,0,0
266,ん,10,5,0,0,3,0,1,0,0,1,0,0,0,0
267,自然化粧品,10,0,0,4,0,2,2,1,0,0,0,0,1,0
268,馴染み,9,2,2,1,2,1,0,0,0,1,0,0,0,0
269,用,9,3,0,0,4,0,1,0,1,0,0,0,0,0
270,鏡,9,4,3,0,1,0,1,0,0,0,0,0,0,0
271,カワイイ,9,4,4,0,0,1,0,0,0,0,0,0,0,0
272,夏場,9,2,2,0,1,0,2,2,0,0,0,0,0,0
273,スキンケア,9,2,0,1,1,0,1,2,1,0,0,1,0,0
274,赤み,9,1,3,1,1,3,0,0,0,0,0,0,0,0
275,自然派,9,0,1,2,1,1,1,2,0,0,0,1,0,0
276,ウォータープルーフ,9,7,0,0,1,0,0,0,1,0,0,0,0,0
277,サンプル,9,2,2,1,0,0,3,1,0,0,0,0,0,0
278,色目,9,2,1,1,3,2,0,0,0,0,0,0,0,0
279,ＵＶカット効果,9,3,1,0,1,0,3,0,0,0,0,0,0,1
280,圧迫感,9,0,0,2,1,2,0,4,0,0,0,0,0,0
281,店員さん,9,4,2,0,1,2,0,0,0,0,0,0,0,0
282,パクト,9,6,3,0,0,0,0,0,0,0,0,0,0,0
283,UVカット効果,9,1,1,3,0,1,1,2,0,0,0,0,0,0
284,状態,9,1,1,2,0,1,1,1,1,0,1,0,0,0
285,お手頃価格,9,3,1,2,0,1,2,0,0,0,0,0,0,0
286,問題,9,1,4,0,1,0,0,2,0,0,0,1,0,0
287,スポンジ,9,4,1,0,0,1,1,1,0,0,1,0,0,0
288,指定成分,9,0,0,3,0,2,2,2,0,0,0,0,0,0
289,ＵＶケア,9,5,2,1,1,0,0,0,0,0,0,0,0,0
290,化粧もち,9,7,1,1,0,0,0,0,0,0,0,0,0,0
291,べたつき,9,1,0,1,0,0,3,1,3,0,0,0,0,0
292,併用,9,2,2,0,2,2,1,0,0,0,0,0,0,0
293,UV効果,9,3,1,2,1,0,0,2,0,0,0,0,0,0
294,対応,9,5,2,0,1,1,0,0,0,0,0,0,0,0
295,無油分,9,0,0,5,0,0,2,2,0,0,0,0,0,0
296,細やか,8,3,2,0,0,1,1,1,0,0,0,0,0,0
297,必要,8,0,1,3,1,0,1,1,0,0,1,0,0,0
298,スー,8,1,3,1,0,1,1,1,0,0,0,0,0,0
299,お気に入り,8,3,2,0,1,1,1,0,0,0,0,0,0,0
300,入れ物,8,2,3,0,1,0,0,0,1,1,0,0,0,0
301,リフィル,8,1,0,3,0,1,2,1,0,0,0,0,0,0
302,塗り心地,8,1,3,1,2,0,0,0,0,0,0,0,1,0
303,近所,8,4,0,0,3,0,0,0,0,0,0,1,0,0
304,通信販売,8,0,0,4,0,0,4,0,0,0,0,0,0,0
305,ツキ,8,1,2,0,0,3,1,1,0,0,0,0,0,0
306,素材,8,0,2,1,0,1,3,1,0,0,0,0,0,0
307,クリーム,8,2,4,0,1,0,1,0,0,0,0,0,0,0
308,適当,8,2,2,0,1,1,1,0,1,0,0,0,0,0
309,ニキビ肌,8,1,1,2,0,0,1,2,0,1,0,0,0,0
310,呼吸,8,1,0,1,0,0,3,3,0,0,0,0,0,0
311,素顔,8,1,1,1,1,0,2,2,0,0,0,0,0,0
312,光沢,8,5,1,0,1,1,0,0,0,0,0,0,0,0
313,皮膚,8,2,0,0,0,2,2,2,0,0,0,0,0,0
314,アトピー,8,4,0,1,0,0,1,1,0,0,0,1,0,0
315,しわ,8,3,0,1,1,1,1,1,0,0,0,0,0,0
316,テカ,8,4,2,1,0,1,0,0,0,0,0,0,0,0
317,無添加化粧品,8,0,2,3,1,1,1,0,0,0,0,0,0,0
318,ノンオイル,8,0,1,3,0,0,4,0,0,0,0,0,0,0
319,持ち運び,8,4,2,0,0,0,0,1,0,0,1,0,0,0
320,パウダーファンデーション,8,0,2,1,2,3,0,0,0,0,0,0,0,0
321,コンパクトケース,8,4,3,0,1,0,0,0,0,0,0,0,0,0
322,薄化粧,8,1,4,0,0,2,0,1,0,0,0,0,0,0
323,天然素材,8,0,0,2,0,0,3,3,0,0,0,0,0,0
324,コーセー,8,3,2,0,0,3,0,0,0,0,0,0,0,0
325,両用,8,1,0,1,1,1,2,0,2,0,0,0,0,0
326,有名,8,4,0,0,2,0,0,0,1,0,0,1,0,0
327,パッケージデザイン,8,5,2,0,0,0,0,0,0,0,0,1,0,0
328,敏感,8,2,2,0,1,1,0,1,0,1,0,0,0,0
329,バリエーション,7,1,3,0,1,0,1,0,1,0,0,0,0,0
330,店,7,3,1,0,2,0,1,0,0,0,0,0,0,0
331,毎回,7,3,0,1,1,2,0,0,0,0,0,0,0,0
332,サラ,7,2,2,1,0,2,0,0,0,0,0,0,0,0
333,シリーズ,7,3,1,0,2,0,0,0,0,0,0,1,0,0
334,無臭,7,3,0,0,1,2,0,1,0,0,0,0,0,0
335,部分,7,3,2,0,0,2,0,0,0,0,0,0,0,0
336,利用,7,4,0,2,0,0,0,1,0,0,0,0,0,0
337,全体,7,0,3,0,1,2,0,1,0,0,0,0,0,0
338,すべすべ,7,3,3,0,0,0,0,0,1,0,0,0,0,0
339,店頭,7,2,2,0,0,1,1,0,1,0,0,0,0,0
340,それなり,7,4,1,0,0,1,1,0,0,0,0,0,0,0
341,パウダリー,7,3,4,0,0,0,0,0,0,0,0,0,0,0
342,乳液,7,1,1,1,1,0,1,2,0,0,0,0,0,0
343,試供品,7,4,0,1,1,1,0,0,0,0,0,0,0,0
344,液体,7,2,0,1,2,1,1,0,0,0,0,0,0,0
345,酸化,7,0,0,2,0,0,4,1,0,0,0,0,0,0
346,一切,7,0,1,2,0,1,1,2,0,0,0,0,0,0
347,両用タイプ,7,1,0,1,2,1,0,0,0,0,1,0,0,1
348,体,7,0,0,0,0,0,3,3,1,0,0,0,0,0
349,為,7,0,1,0,2,0,2,1,0,1,0,0,0,0
350,抜群,7,4,2,0,0,1,0,0,0,0,0,0,0,0
351,スティックタイプ,7,3,2,0,0,0,0,1,0,1,0,0,0,0
352,お店,7,3,1,0,1,0,0,0,1,1,0,0,0,0
353,ネット,7,0,0,4,0,0,1,2,0,0,0,0,0,0
354,肌理,7,2,2,0,1,1,0,0,0,0,0,0,1,0
355,カット,6,2,0,1,1,1,0,1,0,0,0,0,0,0
356,厚付き,6,2,0,0,2,0,1,1,0,0,0,0,0,0
357,他の,6,4,0,0,0,1,0,0,0,1,0,0,0,0
358,アレルギー,6,4,2,0,0,0,0,0,0,0,0,0,0,0
359,プッシュ式,6,2,1,1,1,0,0,0,1,0,0,0,0,0
360,パサ,6,2,2,1,1,0,0,0,0,0,0,0,0,0
361,何年,6,2,1,0,2,0,1,0,0,0,0,0,0,0
362,最後,6,3,1,1,0,0,0,1,0,0,0,0,0,0
363,ケースデザイン,6,3,0,0,2,1,0,0,0,0,0,0,0,0
364,せい,6,0,1,3,2,0,0,0,0,0,0,0,0,0
365,脂,6,2,2,2,0,0,0,0,0,0,0,0,0,0
366,不可,6,2,0,1,0,0,0,1,1,0,1,0,0,0
367,処方,6,0,2,1,0,1,0,1,0,1,0,0,0,0
368,非常,6,0,1,4,1,0,0,0,0,0,0,0,0,0
369,仕上げ,6,0,0,3,1,0,0,2,0,0,0,0,0,0
370,お化粧,6,2,1,0,0,1,0,2,0,0,0,0,0,0
371,カネボウ,6,3,0,0,2,0,0,1,0,0,0,0,0,0
372,感覚,6,4,1,0,1,0,0,0,0,0,0,0,0,0
373,色白,6,2,3,0,0,0,1,0,0,0,0,0,0,0
374,スキンケア効果,6,0,0,1,0,1,3,0,1,0,0,0,0,0
375,美容液成分,6,0,0,2,0,2,0,2,0,0,0,0,0,0
376,販売員,6,0,3,0,1,1,1,0,0,0,0,0,0,0
377,仕上がり感,6,1,2,0,1,0,1,0,1,0,0,0,0,0
378,割引,6,4,0,0,1,0,0,1,0,0,0,0,0,0
379,毛穴落ち,6,0,4,0,1,0,0,0,0,0,0,1,0,0
380,ピンク,6,2,0,0,2,0,0,1,0,0,1,0,0,0
381,ナチュラルメイク,6,1,2,0,0,1,1,1,0,0,0,0,0,0
382,動物実験,6,1,1,1,0,2,1,0,0,0,0,0,0,0
383,経済的,6,1,0,1,1,1,0,2,0,0,0,0,0,0
384,お値段,6,4,0,1,1,0,0,0,0,0,0,0,0,0
385,微粒子,6,0,1,2,1,0,1,0,0,1,0,0,0,0
386,前,6,3,0,0,1,1,1,0,0,0,0,0,0,0
387,サイズ,6,4,0,1,0,0,0,1,0,0,0,0,0,0
388,石鹸,6,0,1,2,0,2,0,1,0,0,0,0,0,0
389,ソバカス,6,1,2,1,1,0,0,1,0,0,0,0,0,0
390,ところ肌,6,0,3,1,0,0,1,1,0,0,0,0,0,0
391,使いごこち,6,2,0,1,0,3,0,0,0,0,0,0,0,0
392,インターネット,6,0,0,4,0,0,0,1,1,0,0,0,0,0
393,高品質,6,2,1,1,0,1,1,0,0,0,0,0,0,0
394,塗り,6,4,1,0,0,1,0,0,0,0,0,0,0,0
395,普段,6,1,3,0,0,0,0,0,1,0,0,0,0,1
396,洗顔,6,0,0,0,0,0,1,3,2,0,0,0,0,0
397,トリートメント効果,6,0,2,0,1,2,0,0,1,0,0,0,0,0
398,わけ,6,1,1,0,2,0,1,1,0,0,0,0,0,0
399,可,6,3,0,1,0,0,0,1,0,0,1,0,0,0
400,無難,6,2,1,0,1,2,0,0,0,0,0,0,0,0
401,全て,6,1,1,1,1,0,2,0,0,0,0,0,0,0
402,'｡',5,2,1,1,0,0,1,0,0,0,0,0,0,0
403,保湿性,5,2,2,0,0,0,0,1,0,0,0,0,0,0
404,ツーウェイ,5,1,0,1,0,0,1,2,0,0,0,0,0,0
405,ヨレ,5,2,0,0,1,1,0,0,1,0,0,0,0,0
406,さら,5,2,1,0,0,1,0,1,0,0,0,0,0,0
407,化粧ノリ,5,2,2,0,0,1,0,0,0,0,0,0,0,0
408,色むら,5,2,1,1,1,0,0,0,0,0,0,0,0,0
409,無香,5,0,0,0,1,0,1,2,1,0,0,0,0,0
410,余分,5,0,2,0,0,0,2,1,0,0,0,0,0,0
411,'ＳＰＦ',5,2,0,0,0,2,1,0,0,0,0,0,0,0
412,変,5,0,2,0,0,1,0,1,0,0,1,0,0,0
413,ー,5,3,1,0,1,0,0,0,0,0,0,0,0,0
414,年齢,5,2,1,0,2,0,0,0,0,0,0,0,0,0
415,コストパフォーマンス,5,2,1,1,0,0,0,0,1,0,0,0,0,0
416,格安,5,3,0,1,1,0,0,0,0,0,0,0,0,0
417,界面活性剤,5,0,0,0,0,2,0,2,1,0,0,0,0,0
418,無鉱物油,5,0,1,0,1,0,1,2,0,0,0,0,0,0
419,均一,5,1,0,1,0,0,1,2,0,0,0,0,0,0
420,小じわ,5,3,1,1,0,0,0,0,0,0,0,0,0,0
421,セット,5,2,1,0,0,0,2,0,0,0,0,0,0,0
422,密着度,5,1,3,0,0,0,0,1,0,0,0,0,0,0
423,価格的,5,1,2,0,1,0,1,0,0,0,0,0,0,0
424,友人,5,1,2,1,1,0,0,0,0,0,0,0,0,0
425,乗り,5,0,1,1,1,1,0,1,0,0,0,0,0,0
426,夕方,5,1,1,1,0,0,2,0,0,0,0,0,0,0
427,無着色,5,1,1,0,0,0,1,1,1,0,0,0,0,0
428,ムース状,5,1,1,0,2,0,0,0,0,1,0,0,0,0
429,すべて,5,0,2,1,0,0,2,0,0,0,0,0,0,0
430,美容液効果,5,1,0,3,0,0,0,1,0,0,0,0,0,0
431,美容液入り,5,0,0,1,0,0,1,2,0,1,0,0,0,0
432,艶,5,1,3,0,1,0,0,0,0,0,0,0,0,0
433,満足,5,1,1,0,0,0,1,1,0,0,0,1,0,0
