番号,係り,受け,回数
291,塗る,価格#,0
292,塗る,カバー力,1
293,塗る,仕上がり,0
294,塗る,所,0
295,塗る,伸び,0
296,塗る,ファンデーション,0
297,塗る,もの,0
298,塗る,のり,0
299,塗る,点,0
300,塗る,肌色,0
301,塗る,自分,0
302,塗る,のびる,0
303,塗る,事,0
304,塗る,デザイン,0
305,塗る,気,1
