名詞(複合語),(回数),形容詞,(回数),動詞,(回数),副詞,(回数),連体詞,(回数),接続詞,(回数)
美白効果,35,分厚い,1,めだつ,8,パッ,2,,,,
コンビニ,35,冷たい,1,なくなる,8,ごく,2,,,,
マット,34,酷い,1,行く,8,すべすべ,2,,,,
サラッ,34,すくない,1,汚れる,8,やや,2,,,,
ブランド,33,いたい,1,かける,8,まあだ,2,,,,
商品,33,素早い,1,色づく,8,パサパサ,2,,,,
なめらか,33,おおきい,1,作れる,8,やっと,2,,,,
なじみ,33,大人しい,1,入れる,8,つい,2,,,,
感触,32,よわい,1,かりる,8,ふわふわ,2,,,,
化粧のり,31,たのしい,1,押さえる,7,後で,2,,,,
下地,31,ぬくい,1,落とせる,7,いちいち,1,,,,
お手ごろ,31,うれしい,1,もらう,7,みるみる,1,,,,
オイルフリー,31,赤黒い,1,おさえる,7,もって,1,,,,
便利,30,ほしい,1,もつ,7,さらに,1,,,,
気軽,30,こわい,1,おちる,7,さほど,1,,,,
美容液,30,しつこい,1,扱う,6,ザラザラ,1,,,,
これ,30,怖い,1,あわせる,6,一見,1,,,,
後,30,短い,1,伸ばす,6,只,1,,,,
トラブル,30,わざとらしい,1,あがる,6,ヒリヒリ,1,,,,
ＵＶカット,29,つらい,1,出せる,6,そのうえ,1,,,,
とこ,29,脂っこい,1,割れる,6,常に,1,,,,
肌なじみ,29,かっこいい,1,つるむ,6,別途,1,,,,
今,29,可愛らしい,1,うく,6,ぴりぴり,1,,,,
すき,28,たかい,1,続く,6,どんなに,1,,,,
シンプル,28,力強い,1,起こす,6,ほんのり,1,,,,
量,27,きたない,1,分かれる,6,もち,1,,,,
紫外線,27,もったいない,1,薦める,6,殆ど,1,,,,
質感,27,とてつもない,1,よる,5,だいたい,1,,,,
敏感肌用,26,水っぽい,1,うるおう,5,ぴんと,1,,,,
ファン,26,黄色い,1,惹く,5,直ぐに,1,,,,
CM,26,厳しい,1,分かる,5,いっぱい,1,,,,
テカリ,26,なにげない,1,すすめる,5,もちろん,1,,,,
乾燥肌,26,難しい,1,かさばる,5,もしも,1,,,,
オールシーズン,26,ありがたい,1,すぐれる,5,案外,1,,,,
化粧品,26,細い,1,かくれる,5,大して,1,,,,
どこ,26,しろい,1,出す,5,とくべつ,1,,,,
容器,25,,,もらえる,5,できるだけ,1,,,,
豊富,25,,,持ち歩く,5,スルスル,1,,,,
方,24,,,忘れる,5,ついつい,1,,,,
日焼け止め効果,24,,,乗せる,5,あえて,1,,,,
リキッドファンデーション,24,,,妨げる,5,且つ,1,,,,
安全,24,,,みる,5,はっきり,1,,,,
ため,23,,,要る,5,ふわり,1,,,,
低刺激,22,,,かくす,5,次々,1,,,,
添加物,22,,,とれる,5,ぐんと,1,,,,
つや,22,,,使い分ける,5,何とか,1,,,,
厚化粧,22,,,仕上げる,5,わりに,1,,,,
質,22,,,防げる,5,べとべと,1,,,,
クリームタイプ,22,,,問う,5,それだけ,1,,,,
皮脂,22,,,助かる,5,サッと,1,,,,
カラー,21,,,置く,4,しゃきっと,1,,,,
ドラッグストア,21,,,減る,4,いままで,1,,,,
ＵＶ効果,20,,,張り付く,4,時々,1,,,,
薄つき,20,,,効く,4,ねっとり,1,,,,
ＣＭ,20,,,起きる,4,かく,1,,,,
昔,19,,,起こる,4,もっと,1,,,,
メイク,19,,,進める,4,同時に,1,,,,
つけごこち,19,,,輝く,4,こっくり,1,,,,
上,19,,,終わる,4,わざわざ,1,,,,
潤い,19,,,知る,4,共に,1,,,,
以前,18,,,聞く,4,なるべく,1,,,,
長年,18,,,取れる,4,少々,1,,,,
顔色,18,,,やる,4,中でも,1,,,,
滑らか,18,,,保てる,4,ほほ,1,,,,
薄,18,,,しみる,4,なぜ,1,,,,
心地,18,,,つくす,4,どうしても,1,,,,
高級感,18,,,ぱさつく,4,するする,1,,,,
そばかす,17,,,のせる,4,これから,1,,,,
お手頃,17,,,考える,4,ツルツル,1,,,,
パール,17,,,あれる,4,もう少し,1,,,,
そう,17,,,触れる,4,たまに,1,,,,
適度,17,,,求める,3,残らず,1,,,,
素肌感,17,,,のばせる,3,しいて,1,,,,
密着,17,,,揃える,3,充分,1,,,,
パフ,16,,,つかえる,3,満遍なく,1,,,,
資生堂,16,,,来る,3,てかてか,1,,,,
楽,16,,,与える,3,いまいち,1,,,,
ニキビ,16,,,広がる,3,恐らく,1,,,,
にきび,16,,,おく,3,きちっと,1,,,,
信頼,16,,,守る,3,きっちり,1,,,,
お肌,16,,,取る,3,ふつう,1,,,,
お手ごろ価格,16,,,試せる,3,もさっと,1,,,,
スーパー,15,,,残る,3,思わず,1,,,,
あと,15,,,負ける,3,うっすら,1,,,,
油,15,,,ちる,3,こう,1,,,,
天然成分,15,,,延びる,3,ピリピリ,1,,,,
見た目,15,,,伸ばせる,3,くっきり,1,,,,
薄付,15,,,急ぐ,3,,,,,,
人,15,,,引き締まる,3,,,,,,
安心感,15,,,いく,3,,,,,,
油分,15,,,うつる,3,,,,,,
サラサラ感,15,,,おもう,3,,,,,,
大丈夫,15,,,出かける,3,,,,,,
愛用,15,,,もてる,3,,,,,,
一緒,14,,,仕上る,3,,,,,,
使い,14,,,落ち着く,3,,,,,,
かさ,14,,,かくせる,3,,,,,,
肌トラブル,14,,,くう,3,,,,,,
種類,14,,,探す,3,,,,,,
夏,14,,,止める,3,,,,,,
白,14,,,慣れる,3,,,,,,
不使用,14,,,併せる,3,,,,,,
リーズナブル,14,,,兼ねる,3,,,,,,
光,14,,,のばす,3,,,,,,
イメージ,14,,,揃う,3,,,,,,
さそう,14,,,かねる,3,,,,,,
化粧持ち,13,,,疲れる,3,,,,,,
普通,13,,,とる,3,,,,,,
中,13,,,無くなる,3,,,,,,
皮膚呼吸,13,,,思える,2,,,,,,
日焼け,13,,,書く,2,,,,,,
日焼け止め,13,,,溶ける,2,,,,,,
季節,13,,,そろう,2,,,,,,
化粧水,13,,,なす,2,,,,,,
それ,13,,,触る,2,,,,,,
ノビ,12,,,分る,2,,,,,,
ごち,12,,,映える,2,,,,,,
たくさん,12,,,当たる,2,,,,,,
持続,12,,,頂く,2,,,,,,
つけ,12,,,つくれる,2,,,,,,
金額,12,,,取り扱う,2,,,,,,
パウダータイプ,12,,,消せる,2,,,,,,
しっとり感,12,,,洗う,2,,,,,,
紫外線対策,12,,,適す,2,,,,,,
ラメ,12,,,吹く,2,,,,,,
夏用,12,,,出来上がる,2,,,,,,
基礎化粧品,12,,,つくる,2,,,,,,
延び,12,,,なつく,2,,,,,,
違和感,11,,,言える,2,,,,,,
UV,11,,,信じる,2,,,,,,
機能,11,,,引く,2,,,,,,
紫外線カット,11,,,解る,2,,,,,,
臭い,11,,,おこす,2,,,,,,
ツヤ感,11,,,貰う,2,,,,,,
一年中,11,,,決める,2,,,,,,
オイルカット,11,,,混じる,2,,,,,,
美白,11,,,擦る,2,,,,,,
調子,11,,,消す,2,,,,,,
物,11,,,すく,2,,,,,,
おしゃれ,11,,,乾く,2,,,,,,
近く,10,,,そろえる,2,,,,,,
配合,10,,,果たす,2,,,,,,
両方,10,,,はがれる,2,,,,,,
形,10,,,かす,2,,,,,,
サンプル,10,,,かわる,2,,,,,,
ナチュラル感,10,,,ます,2,,,,,,
素肌感覚,10,,,劣る,2,,,,,,
自然派化粧品,10,,,ついてる,2,,,,,,
赤ちゃん,10,,,かえる,2,,,,,,
カバ,10,,,載る,2,,,,,,
製品,10,,,かう,2,,,,,,
使い勝手,10,,,買い換える,2,,,,,,
テカら,10,,,はたく,2,,,,,,
赤み,10,,,流す,2,,,,,,
肌触り,10,,,こだわる,2,,,,,,
評判,10,,,寝る,2,,,,,,
具合,10,,,飽きる,2,,,,,,
いつ,10,,,使い切る,2,,,,,,
ファンデ,10,,,直す,2,,,,,,
原料,10,,,焼ける,2,,,,,,
スポンジ,10,,,けす,2,,,,,,
気持ち,10,,,掛かる,2,,,,,,
手間,10,,,続ける,2,,,,,,
自然化粧品,10,,,かかわる,2,,,,,,
ツヤ,10,,,なでる,2,,,,,,
ん,10,,,ゆるめる,1,,,,,,
クリーム状,10,,,あつかう,1,,,,,,
スキンケア,9,,,あふれる,1,,,,,,
UVカット効果,9,,,たまる,1,,,,,,
圧迫感,9,,,入れ替える,1,,,,,,
対応,9,,,栄える,1,,,,,,
ＵＶケア,9,,,移る,1,,,,,,
鏡,9,,,しとる,1,,,,,,
ウォータープルーフ,9,,,踏む,1,,,,,,
UV効果,9,,,直せる,1,,,,,,
夏場,9,,,きれる,1,,,,,,
店員さん,9,,,撮る,1,,,,,,
併用,9,,,はる,1,,,,,,
状態,9,,,点く,1,,,,,,
ＵＶカット効果,9,,,はげる,1,,,,,,
リフィル,9,,,はやる,1,,,,,,
用,9,,,足す,1,,,,,,
問題,9,,,つられる,1,,,,,,
べたつき,9,,,ためす,1,,,,,,
自然派,9,,,ほる,1,,,,,,
化粧もち,9,,,こぐ,1,,,,,,
パクト,9,,,流れる,1,,,,,,
指定成分,9,,,届く,1,,,,,,
お手頃価格,9,,,ささる,1,,,,,,
色目,9,,,洗い落とせる,1,,,,,,
無油分,9,,,盛り込む,1,,,,,,
馴染み,9,,,持ち歩ける,1,,,,,,
カワイイ,9,,,耐える,1,,,,,,
必要,8,,,目だつ,1,,,,,,
素材,8,,,増える,1,,,,,,
光沢,8,,,置ける,1,,,,,,
持ち運び,8,,,つつく,1,,,,,,
天然素材,8,,,勤める,1,,,,,,
ノンオイル,8,,,治す,1,,,,,,
スー,8,,,壊れる,1,,,,,,
コンパクトケース,8,,,生まれる,1,,,,,,
皮膚,8,,,決まる,1,,,,,,
通信販売,8,,,ひび割れる,1,,,,,,
パウダーファンデーション,8,,,頼む,1,,,,,,
無添加化粧品,8,,,見合う,1,,,,,,
敏感,8,,,跳ね返す,1,,,,,,
お店,8,,,そむ,1,,,,,,
両用,8,,,弱る,1,,,,,,
テカ,8,,,癒す,1,,,,,,
ツキ,8,,,ぼかす,1,,,,,,
薄化粧,8,,,まとまる,1,,,,,,
近所,8,,,みつかる,1,,,,,,
パッケージデザイン,8,,,話す,1,,,,,,
細やか,8,,,こまる,1,,,,,,
